,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,53.84615384615385,89.83957219251337,0.0,0.0,0.0,0.0,0.0
2nd,0.6410256410256411,1.0695187165775402,0.0,0.0,0.0,0.0,0.0
3rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7th,0.9615384615384616,1.6042780748663101,0.0,0.0,0.0,0.0,0.0
8th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9th,4.487179487179487,7.4866310160427805,0.0,0.0,0.0,0.0,0.0
10th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14th,0.32051282051282054,0.0,2.0833333333333335,0.0,0.0,0.0,0.0
15th,5.448717948717949,0.0,35.416666666666664,0.0,0.0,0.0,0.0
placed,65.7051282051282,100.0,37.5,0.0,0.0,0.0,0.0
not_placed,34.294871794871796,0.0,62.5,100.0,100.0,100.0,100.0
