,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,48.55072463768116,79.76190476190476,0.0,0.0,0.0,0.0,0.0
2nd,2.898550724637681,4.761904761904762,0.0,0.0,0.0,0.0,0.0
3rd,4.3478260869565215,7.142857142857143,0.0,0.0,0.0,0.0,0.0
4th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5th,1.4492753623188406,1.1904761904761905,7.142857142857143,0.0,0.0,0.0,0.0
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7th,2.1739130434782608,2.380952380952381,7.142857142857143,0.0,0.0,0.0,0.0
8th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9th,0.7246376811594203,0.0,7.142857142857143,0.0,0.0,0.0,0.0
10th,3.6231884057971016,0.0,35.714285714285715,0.0,0.0,0.0,0.0
11th,2.898550724637681,2.380952380952381,14.285714285714286,0.0,0.0,0.0,0.0
12th,2.898550724637681,2.380952380952381,14.285714285714286,0.0,0.0,0.0,0.0
13th,1.4492753623188406,0.0,14.285714285714286,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,71.01449275362319,100.0,100.0,0.0,0.0,0.0,0.0
not_placed,28.985507246376812,0.0,0.0,100.0,100.0,100.0,100.0
