,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,5.2631578947368425,8.187772925764191,2.9702970297029703,0.0,0.0,0.0,0.0
2nd,3.508771929824561,5.567685589519651,1.4851485148514851,0.0,0.0,0.0,0.0
3rd,3.313840155945419,5.021834061135372,2.4752475247524752,0.0,0.0,0.0,0.0
4th,3.508771929824561,5.240174672489083,2.9702970297029703,0.0,0.0,0.0,0.0
5th,3.183885640025991,4.9126637554585155,1.9801980198019802,0.0,0.0,0.0,0.0
6th,4.938271604938271,7.205240174672489,4.9504950495049505,0.0,0.0,0.0,0.0
7th,5.782975958414555,8.842794759825328,3.9603960396039604,0.0,0.0,0.0,0.0
8th,4.678362573099415,7.423580786026201,1.9801980198019802,0.0,0.0,0.0,0.0
9th,8.122157244964262,12.77292576419214,3.9603960396039604,0.0,0.0,0.0,0.0
10th,4.808317089018844,7.423580786026201,2.9702970297029703,0.0,0.0,0.0,0.0
11th,3.313840155945419,5.131004366812227,1.9801980198019802,0.0,0.0,0.0,0.0
12th,5.39311241065627,8.078602620087336,4.455445544554456,0.0,0.0,0.0,0.0
13th,3.313840155945419,5.021834061135372,2.4752475247524752,0.0,0.0,0.0,0.0
14th,4.093567251461988,6.441048034934497,1.9801980198019802,0.0,0.0,0.0,0.0
15th,1.949317738791423,2.7292576419213974,2.4752475247524752,0.0,0.0,0.0,0.0
placed,65.17218973359324,100.0,43.06930693069307,0.0,0.0,0.0,0.0
not_placed,34.82781026640676,0.0,56.93069306930693,100.0,100.0,100.0,100.0
