,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,10.526315789473685,16.593886462882097,4.9504950495049505,0.0,0.0,0.0,0.0
2nd,10.396361273554255,15.174672489082969,10.396039603960396,0.0,0.0,0.0,0.0
3rd,8.447043534762834,13.755458515283843,1.9801980198019802,0.0,0.0,0.0,0.0
4th,6.9525666016894085,10.37117903930131,5.9405940594059405,0.0,0.0,0.0,0.0
5th,6.172839506172839,9.606986899563319,3.4653465346534653,0.0,0.0,0.0,0.0
6th,5.133203378817414,7.751091703056769,3.9603960396039604,0.0,0.0,0.0,0.0
7th,3.7037037037037037,5.567685589519651,2.9702970297029703,0.0,0.0,0.0,0.0
8th,3.6387264457439894,5.676855895196507,1.9801980198019802,0.0,0.0,0.0,0.0
9th,2.53411306042885,3.930131004366812,1.4851485148514851,0.0,0.0,0.0,0.0
10th,2.1442495126705654,2.8384279475982535,3.4653465346534653,0.0,0.0,0.0,0.0
11th,1.6894087069525665,2.510917030567686,1.4851485148514851,0.0,0.0,0.0,0.0
12th,1.5594541910331383,2.2925764192139737,1.4851485148514851,0.0,0.0,0.0,0.0
13th,1.299545159194282,2.183406113537118,0.0,0.0,0.0,0.0,0.0
14th,1.1046133853151396,1.7467248908296944,0.49504950495049505,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,65.30214424951266,100.0,44.05940594059406,0.0,0.0,0.0,0.0
not_placed,34.69785575048733,0.0,55.94059405940594,100.0,100.0,100.0,100.0
