,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,37.23196881091618,62.11790393013101,1.9801980198019802,0.0,0.0,0.0,0.0
2nd,6.627680311890838,10.480349344978166,2.9702970297029703,0.0,0.0,0.0,0.0
3rd,3.313840155945419,5.131004366812227,1.9801980198019802,0.0,0.0,0.0,0.0
4th,3.5737491877842755,4.475982532751091,6.930693069306931,0.0,0.0,0.0,0.0
5th,3.0539311241065628,4.585152838427947,2.4752475247524752,0.0,0.0,0.0,0.0
6th,3.378817413905133,3.493449781659389,9.900990099009901,0.0,0.0,0.0,0.0
7th,3.508771929824561,4.6943231441048034,5.445544554455446,0.0,0.0,0.0,0.0
8th,1.299545159194282,1.965065502183406,0.9900990099009901,0.0,0.0,0.0,0.0
9th,0.5198180636777128,0.4366812227074236,1.9801980198019802,0.0,0.0,0.0,0.0
10th,0.649772579597141,0.982532751091703,0.49504950495049505,0.0,0.0,0.0,0.0
11th,0.4548408057179987,0.5458515283842795,0.9900990099009901,0.0,0.0,0.0,0.0
12th,0.8447043534762833,1.091703056768559,1.4851485148514851,0.0,0.0,0.0,0.0
13th,0.3898635477582846,0.0,2.9702970297029703,0.0,0.0,0.0,0.0
14th,1.6894087069525665,0.0,12.871287128712872,0.0,0.0,0.0,0.0
15th,0.1949317738791423,0.0,1.4851485148514851,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
